T,datum,I_d,mean_waiting,all_tests
217,2020-09-30,99.766497117,,110.590797273
218,2020-10-01,107.585851725,,125.416679298
219,2020-10-02,115.480394372,,123.968716298
220,2020-10-03,118.212579121,,79.7481361171
221,2020-10-04,115.456990855,,40.7423212345
222,2020-10-05,117.782060346,,92.9424366457
223,2020-10-06,130.006544383,,120.605874692
224,2020-10-07,149.382057462,,125.967534788
225,2020-10-08,170.11285691,,131.460350952
226,2020-10-09,199.602454604,,145.504542807
227,2020-10-10,210.14202113,,95.0461799904
228,2020-10-11,211.871429305,,60.3527766523
229,2020-10-12,214.819864876,,115.569481648
230,2020-10-13,245.260491981,,165.922919609
231,2020-10-14,283.818444024,,182.752866367
232,2020-10-15,315.547492726,,182.543016656
233,2020-10-16,347.525086568,,203.129273227
234,2020-10-17,368.824625662,,153.594249135
235,2020-10-18,369.785986116,,90.4452250943
236,2020-10-19,380.9995981,,163.236843318
237,2020-10-20,419.935767734,,212.971224635
238,2020-10-21,480.477116579,,237.156403735
239,2020-10-22,533.21242028,,243.467633769
240,2020-10-23,572.722818297,,237.376745931
241,2020-10-24,604.613197866,,205.600253564
242,2020-10-25,586.335654797,,113.124732524
243,2020-10-26,574.849945597,,185.722239766
244,2020-10-27,611.359061751,,249.033897332
245,2020-10-28,659.118336598,,210.23793216
246,2020-10-29,659.664268357,,223.117458123
247,2020-10-30,657.595913576,,245.503175958
