datum,kumulativni_pocet_testu,I_d_cr,I_d,mean_waiting
2020-07-13,603493,2326,12.202543141493516,5.144736842105263
2020-07-14,608295,2296,12.045158664174163,5.0344827586206895
2020-07-15,612989,2322,12.1815585445176,5.132352941176472
2020-07-16,617719,2326,12.202543141493516,4.8243243243243255
2020-07-17,622446,2262,11.866789589878902,4.171875
2020-07-18,624780,2297,12.050404813418142,5.085714285714285
2020-07-19,626610,2336,12.255004633933293,4.0625
2020-07-20,632395,2386,12.517312096132212,4.575757575757576
2020-07-21,638484,2502,13.125865408433693,4.422222222222223
2020-07-22,645093,2644,13.87081860107861,4.166666666666667
2020-07-23,650650,2801,14.694464032383205,4.2673267326732685
2020-07-24,656888,3026,15.874847612278321,4.026548672566372
2020-07-25,660225,3137,16.45717017835991,4.866666666666666
2020-07-26,661997,3229,16.939815908805908,3.9642857142857135
2020-07-27,668513,3362,17.637553758255027,4.576086956521738
2020-07-28,676330,3566,18.7077682040266,4.659420289855072
2020-07-29,683630,3750,19.673059664918608,4.4
2020-07-30,691158,3926,20.596381931858787,4.056451612903226
2020-07-31,699276,4046,21.22591984113618,3.6944444444444446
2020-08-01,703929,4137,21.703319422338204,3.42
2020-08-02,706564,4211,22.091534466392602,4.042553191489361
2020-08-03,713964,4294,22.526964853642802,4.5
2020-08-04,722107,4465,23.42405637436309,5.73202614379085
2020-08-05,728799,4623,24.252947954911647,3.4086021505376345
2020-08-06,735501,4752,24.929701207384852,4.826086956521738
