datum,inc_I_d
2020-08-22,0.8070508305083308
2020-08-23,0.49375031377394407
2020-08-24,1.07212943212933
2020-08-25,1.5780087948756005
2020-08-26,1.519941150747897
2020-08-27,1.4213751420974603
2020-08-28,1.97456643277296
2020-08-29,1.402192458635156
2020-08-30,0.8141212125019877
2020-08-31,0.98132141248999
2020-09-01,2.168472532170199
2020-09-02,2.9303626975040515
2020-09-03,2.7624588082715036
2020-09-04,3.352053340540479
2020-09-05,2.2366918608429103
2020-09-06,1.4433056099841934
2020-09-07,2.6649978191008046
2020-09-08,4.69397445769539
2020-09-09,4.727380089891653
2020-09-10,5.878148858746485
2020-09-11,6.3587884499312395
2020-09-12,6.262080663678233
2020-09-13,2.9653410655735684
2020-09-14,4.235855490112982
2020-09-15,7.769654445233726
2020-09-16,9.440294625016804
