date,betafactor
02/09/2020,0.468061079334942
03/09/2020,0.468978139713995
04/09/2020,0.471721697449531
05/09/2020,0.474465255185067
06/09/2020,0.477208812920603
07/09/2020,0.479952370656139
08/09/2020,0.482695928391675
09/09/2020,0.485439486127212
10/09/2020,0.488183043862748
11/09/2020,0.490876459555504
12/09/2020,0.49356987524826
13/09/2020,0.496263290941016
14/09/2020,0.498956706633773
15/09/2020,0.501650122326529
16/09/2020,0.504343538019285
17/09/2020,0.507036953712041
18/09/2020,0.507076896002909
19/09/2020,0.507116838293778
20/09/2020,0.507156780584646
21/09/2020,0.507196722875514
22/09/2020,0.507236665166383
23/09/2020,0.507276607457251
24/09/2020,0.507316549748119
25/09/2020,0.507356886237575
26/09/2020,0.507397222727031
27/09/2020,0.507437559216487
28/09/2020,0.507477895705942
