datum,kumulativni_pocet_I_d_prepocitano_Olomouc,kumulativni_pocet_vylecenych_prepocitano_Olomouc,kumulativni_pocet_umrti_prepocitano_Olomouc
2020-06-01,16.715572978517827,108.890018260059,4.059496294782901
2020-06-02,18.1483363766765,108.890018260059,4.059496294782901
2020-06-03,17.670748577290276,109.36760605944522,4.059496294782901
2020-06-04,17.43195467759716,110.08398775852456,4.059496294782901
2020-06-05,18.38713027636961,110.56157555791079,4.059496294782901
2020-06-06,20.53627537360762,110.80036945760389,4.059496294782901
2020-06-07,24.118183869004294,110.80036945760389,4.059496294782901
2020-06-08,28.416474063480305,110.80036945760389,4.059496294782901
2020-06-09,29.84923746163898,111.27795725699012,4.059496294782901
2020-06-10,31.998382558876987,111.99433895606944,4.059496294782901
2020-06-11,32.71476425795632,111.99433895606944,4.059496294782901
2020-06-12,34.147527656114995,111.99433895606944,4.059496294782901
2020-06-13,34.147527656114995,111.99433895606944,4.059496294782901
