datum,pocet_I_d_prepocitano
2020-08-31,17.39615471785479
2020-09-01,18.461424191492533
2020-09-02,20.231493786845178
2020-09-03,21.450236677927574
2020-09-04,23.423533723552428
2020-09-05,25.145824937316267
2020-09-06,26.079548982827934
2020-09-07,26.887749853496814
2020-09-08,30.051745146066263
2020-09-09,33.35300652933642
2020-09-10,36.75181152038173
2020-09-11,39.4795374760998
2020-09-12,42.993634277233795
2020-09-13,43.11292195740988
2020-09-14,43.001945621349144
2020-09-15,48.35636666076471
2020-09-16,56.37932306651055
2020-09-17,65.20795779125127
2020-09-18,69.70225219309353
2020-09-19,73.04391635529417
2020-09-20,71.61473386889656
2020-09-21,71.15222372063113
2020-09-22,77.01271129103321
2020-09-23,83.38161372222899
2020-09-24,88.66598814932013
2020-09-25,93.87818922608959
