zuj,orp,cnt,x,y,name
584711,6207,296,1184082.0031418921,590077.3481081079,Nikolčice
576620,5213,289,1052997.5073356386,600015.2986505189,Pěčín
538876,2103,1398,1043395.2546638057,724026.1139055791,Šestajovice
531154,2108,292,1061691.0302054775,787734.630753424,Drozdov
545091,3102,155,1176232.81064516,753701.5212903223,Střížov
557676,3212,1595,1078642.8070783764,829405.9820188095,Dobřany
572420,5304,208,1067682.325673077,643378.7365384616,Tuněchody
584851,6204,371,1199546.714609164,590766.6870080859,Přítluky
538663,4107,238,1003629.191848739,862228.4449159662,Tatrovice
562017,5101,359,987745.7462395538,710183.6666852371,Ralsko
529729,3102,91,1166707.453186813,766637.3669230773,Kvítkovice
549011,6109,135,1112373.6634814807,707353.2671111111,Velká Chyška
557218,7102,120,1037584.3860833333,547977.8256666667,Kobylá nad Vidnavkou
542598,2121,140,1040881.1554999996,790399.8148571429,Všetaty
545457,3103,813,1189640.92415744,787074.3714145133,Černá v Pošumaví
517607,7109,566,1136696.5826678441,539054.8990282693,Rokytnice
589195,7203,792,1162566.1584469713,546480.0149368686,Zdounky
541036,7102,256,1040189.1506250004,543108.4979687498,Stará Červená Voda
569674,6104,167,1091660.0870658676,666790.6371856289,Vepříkov
591742,6113,608,1153865.8595065784,654502.7586513151,Stařeč
517836,7109,73,1132860.622328767,533758.433287671,Sobíšky
564532,5105,410,987604.2251951222,696883.7719756096,Všelibice
552895,3110,164,1138742.8513414627,730750.8971341462,Přehořov
553832,3204,67,1088695.1080597017,851324.392238806,Křenovy
578207,5310,220,1101083.8348636366,618466.776454545,Kamenec u Poličky
567001,3211,184,1064441.855054347,797492.3198913042,Lhota pod Radčem
580848,5306,510,1082225.7965686277,592130.9765882359,Rudoltice
587567,6112,89,1149610.051011236,679511.7723595507,Mysliboř
543128,4216,404,1005771.3437376233,798110.6271039603,Staňkovice
534757,2118,171,1023582.471812865,691569.6805847954,Seletice
559148,3208,399,1061056.0771177935,824435.3106516284,Ledce
595250,6114,125,1131791.37672,646007.0080000001,Blízkov
545601,3103,356,1202462.406713483,777570.476685393,Loučovice
596965,6101,132,1124745.6345454548,618000.4883333333,Věchnov
546968,3105,355,1142776.622056337,721937.6333802808,Pluhův Žďár
563439,4204,219,1007286.1789497716,817617.3816894979,Vilémov
557111,3214,229,1144110.5903930129,825977.399126637,Srní
579050,5214,390,995509.1221538465,625899.1152051283,Bernartice
529681,2120,80,1100917.0237500002,787758.3033750003,Koupě
591009,6106,192,1163335.0595312505,660856.8781249997,Lesonice
542580,4207,214,1006143.1669158881,777953.0388317757,Obora
580775,5315,219,1065449.723196347,599162.2464383559,Písečná
510882,8119,654,1097374.5165749227,483798.0515749235,Velká Polom
530662,6102,59,1104806.450677966,662307.7454237287,Ždírec
595390,6115,72,1117512.8429166665,644075.1747222224,Budeč
590533,6106,197,1176689.7802030467,666745.6665989846,Dešov
584703,6207,315,1191354.3556190466,585584.3924444441,Němčičky
561061,3105,95,1149696.2338947367,712877.336736842,Horní Skrýchov
548154,5205,102,1036777.4081372549,644238.5083333334,Světí
540421,3210,67,1091599.3537313433,826386.57119403,Radkovice
596949,6115,115,1119027.4986086953,640210.2428695654,Vatín
530646,6102,92,1107297.3470652173,672185.750108696,Hurtova Lhota
570541,5205,68,1048266.7497058822,653155.0920588234,Osičky
594474,6220,128,1183751.7167187498,630043.0782031248,Morašice
537781,2113,425,1038807.7318117642,709638.5606117635,Semice
584967,6207,404,1186375.5996039605,597491.2839108913,Uherčice
567647,4213,190,977734.9686315786,780981.6307368418,Lahošť
572985,5309,85,1064961.771411765,650740.3231764706,Třebosice
577341,5107,296,1004305.013310811,666853.9156756755,Nová Ves nad Popelkou
542679,7212,870,1157501.93121839,485426.3881264376,Halenkov
530301,2126,360,1098311.7018333327,729603.2295833329,Neustupov
538582,2122,1068,1065990.853670412,720505.1394194764,Ondřejov
561746,5106,255,970148.3203921564,714505.3247058819,Kunratice u Cvikova
582760,6201,105,1136838.0235238094,600196.9288571427,Žernovník
552887,7109,97,1150852.9676288662,550433.3545360824,Stříbrnice
592536,7208,334,1182207.6564970058,525211.1605688623,Prakšice
588296,7203,6098,1155643.060264027,540138.0661561178,Kroměříž
