age,sex,key
21,1,7164107
43,0,7164108
0,1,7164109
22,1,7164109
31,1,7164110
10,0,7164110
40,0,7164110
50,0,7164111
44,1,7164112
21,0,7164112
24,0,7164112
9,0,7164112
23,1,7164112
61,1,7164113
76,0,7164114
27,1,7164115
2,0,7164115
13,0,7164116
33,1,7164116
10,1,7164116
10,1,7164116
38,0,7164117
54,1,7164118
33,0,7164118
31,0,7164118
30,1,7164119
35,0,7164119
12,0,7164119
11,1,7164119
49,1,7164120
55,0,7164120
47,1,7164121
20,1,7164121
22,0,7164121
50,1,7164122
55,0,7164122
74,0,7164123
20,1,7164124
18,1,7164124
13,1,7164124
42,1,7164124
30,0,7164125
46,0,7164126
79,1,7164127
61,0,7164128
58,1,7164128
68,1,7164129
20,1,7164130
22,1,7164130
2,1,7164131
26,1,7164131
25,0,7164131
17,0,7164132
28,0,7164133
24,1,7164133
2,1,7164133
44,1,7164134
2,0,7164135
28,1,7164135
20,0,7164403
43,1,7164403
24,0,7164403
22,0,7164403
73,1,7164404
25,1,7165057
52,0,7165057
50,1,7165057
65,0,7166615
54,1,7166615
36,1,7166615
41,1,7166625
14,1,7166625
41,0,7166625
39,1,7166626
18,1,7166626
41,0,7166626
10,1,7166626
67,1,7166627
72,0,7166627
53,1,7166628
20,1,7166628
56,0,7166628
20,1,7166628
46,1,7167484
25,0,7167484
36,0,7168239
37,0,7168703
36,1,7168703
62,0,7168703
9,0,7168703
65,1,7168703
68,1,7169928
72,0,7169928
53,1,7170066
32,1,7170066
12,1,7170066
33,0,7170066
55,0,7170066
55,1,7170067
29,1,7170067
76,1,7170068
54,1,7170068
57,0,7170068
76,1,7170069
81,0,7170069
10,0,7170074
46,0,7170074
20,0,7170074
46,1,7170074
43,0,7170075
36,1,7170075
6,1,7170075
13,0,7170075
11,1,7170075
36,1,7170077
65,0,7170077
60,1,7170077
58,0,7170078
60,1,7170078
50,1,7170541
11,0,7170541
22,1,7170541
51,0,7170541
29,0,7170541
60,0,7172920
13,1,7172920
11,1,7172920
35,1,7172920
2,0,7172920
60,1,7172920
81,1,7172921
42,0,7172921
30,1,7172921
5,0,7172921
17,1,7172922
49,1,7172922
20,1,7172922
46,0,7172922
26,1,7173434
33,0,7173434
39,0,7173591
53,1,7173666
54,0,7173666
4,1,7173667
33,1,7173667
80,1,7173772
16,0,7173773
49,0,7173773
20,0,7173773
44,1,7173773
58,1,7174422
16,1,7174734
75,1,7174734
41,0,7174734
19,0,7174734
9,1,7174746
33,1,7174746
45,0,7174746
78,0,7174746
7,1,7174746
56,1,7175338
58,0,7175338
23,1,7175339
26,1,7175339
53,0,7175339
