,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
104,2020-06-13,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
105,2020-06-14,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
106,2020-06-15,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
107,2020-06-16,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
108,2020-06-17,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
109,2020-06-18,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
110,2020-06-19,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
111,2020-06-20,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
112,2020-06-21,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
113,2020-06-22,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
114,2020-06-23,1.0,47.0,0.0,0.4321155964292041,20.309433032172592,0.0
115,2020-06-24,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
116,2020-06-25,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
117,2020-06-26,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
118,2020-06-27,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
119,2020-06-28,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
120,2020-06-29,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
121,2020-06-30,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
122,2020-07-01,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
123,2020-07-02,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
124,2020-07-03,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
125,2020-07-04,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
126,2020-07-05,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
127,2020-07-06,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
128,2020-07-07,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
129,2020-07-08,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
130,2020-07-09,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
131,2020-07-10,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
132,2020-07-11,2.0,47.0,0.0,0.8642311928584082,20.309433032172592,0.0
133,2020-07-12,1.0,48.0,0.0,0.4321155964292041,20.741548628601798,0.0
134,2020-07-13,1.0,48.0,0.0,0.4321155964292041,20.741548628601798,0.0
135,2020-07-14,1.0,48.0,0.0,0.4321155964292041,20.741548628601798,0.0
136,2020-07-15,1.0,48.0,0.0,0.4321155964292041,20.741548628601798,0.0
137,2020-07-16,1.0,48.0,0.0,0.4321155964292041,20.741548628601798,0.0
138,2020-07-17,1.0,48.0,0.0,0.4321155964292041,20.741548628601798,0.0
139,2020-07-18,1.0,48.0,0.0,0.4321155964292041,20.741548628601798,0.0
140,2020-07-19,2.0,48.0,0.0,0.8642311928584082,20.741548628601798,0.0
141,2020-07-20,2.0,48.0,0.0,0.8642311928584082,20.741548628601798,0.0
142,2020-07-21,4.0,48.0,0.0,1.7284623857168164,20.741548628601798,0.0
143,2020-07-22,7.0,48.0,0.0,3.0248091750044286,20.741548628601798,0.0
144,2020-07-23,8.0,48.0,0.0,3.456924771433633,20.741548628601798,0.0
145,2020-07-24,8.0,48.0,0.0,3.456924771433633,20.741548628601798,0.0
146,2020-07-25,8.0,48.0,0.0,3.456924771433633,20.741548628601798,0.0
147,2020-07-26,8.0,48.0,0.0,3.456924771433633,20.741548628601798,0.0
148,2020-07-27,8.0,48.0,0.0,3.456924771433633,20.741548628601798,0.0
149,2020-07-28,8.0,48.0,0.0,3.456924771433633,20.741548628601798,0.0
150,2020-07-29,8.0,48.0,0.0,3.456924771433633,20.741548628601798,0.0
