id,x,y,town,type,data
185,1006911.49,786314.26,Postoloprty,apartment,{}
186,1006911.49,786314.26,Postoloprty,apartment,{}
187,1006911.49,786314.26,Postoloprty,apartment,{}
188,1006911.49,786314.26,Postoloprty,apartment,{}
189,1006911.49,786314.26,Postoloprty,apartment,{}
190,1006911.49,786314.26,Postoloprty,apartment,{}
191,1006911.49,786314.26,Postoloprty,apartment,{}
192,1006911.49,786314.26,Postoloprty,apartment,{}
193,1006570.17,788403.26,Postoloprty,apartment,{}
194,1006570.17,788403.26,Postoloprty,apartment,{}
195,1006570.17,788403.26,Postoloprty,apartment,{}
196,1006570.17,788403.26,Postoloprty,apartment,{}
197,1006554.63,788345.45,Postoloprty,apartment,{}
198,1006550.04,788319.17,Postoloprty,apartment,{}
199,1006567.49,788365.85,Postoloprty,apartment,{}
200,1006546.36,788289.04,Postoloprty,apartment,{}
201,1006588.85,788338.18,Postoloprty,apartment,{}
202,1006588.85,788338.18,Postoloprty,apartment,{}
203,1006588.11,788296.57,Postoloprty,apartment,{}
204,1006624.57,788344.36,Postoloprty,apartment,{}
205,1006623.86,787366.08,Postoloprty,apartment,{}
206,1006606.76,787256.98,Postoloprty,apartment,{}
207,1006395.0,787196.0,Postoloprty,apartment,{}
208,1006488.46,787092.26,Postoloprty,apartment,{}
209,1006514.16,787090.34,Postoloprty,apartment,{}
210,1007264.17,794837.47,Postoloprty,apartment,{}
211,1007092.17,794959.63,Postoloprty,apartment,{}
212,1006988.28,794944.72,Postoloprty,apartment,{}
213,1006965.7,794951.35,Postoloprty,apartment,{}
214,1006948.3,794920.27,Postoloprty,apartment,{}
215,1007044.45,794894.69,Postoloprty,apartment,{}
216,1007044.45,794894.69,Postoloprty,apartment,{}
217,1007280.99,794797.18,Postoloprty,apartment,{}
218,1007306.87,794781.94,Postoloprty,apartment,{}
219,1007197.65,794684.56,Postoloprty,apartment,{}
220,1006986.44,794908.89,Postoloprty,apartment,{}
221,1006898.8,794916.94,Postoloprty,apartment,{}
222,1006943.16,794939.29,Postoloprty,apartment,{}
223,1007009.04,794942.31,Postoloprty,apartment,{}
224,1008009.95,791629.33,Postoloprty,apartment,{}
225,1007851.01,791735.93,Postoloprty,apartment,{}
226,1007844.08,791764.16,Postoloprty,apartment,{}
227,1008014.98,791679.8,Postoloprty,apartment,{}
228,1008006.8,791693.35,Postoloprty,apartment,{}
229,1007876.15,791723.24,Postoloprty,apartment,{}
230,1007954.91,791689.23,Postoloprty,apartment,{}
231,1007931.14,791692.14,Postoloprty,apartment,{}
232,1007872.94,791637.57,Postoloprty,apartment,{}
233,1007886.04,791594.17,Postoloprty,apartment,{}
234,1007905.44,791647.52,Postoloprty,apartment,{}
235,1007891.37,791582.28,Postoloprty,apartment,{}
236,1007897.27,791566.39,Postoloprty,apartment,{}
237,1007903.82,791547.56,Postoloprty,apartment,{}
238,1007900.59,791500.08,Postoloprty,apartment,{}
239,1007947.15,791553.91,Postoloprty,apartment,{}
240,1007856.94,791701.35,Postoloprty,apartment,{}
241,1007854.08,791724.38,Postoloprty,apartment,{}
242,1007881.73,791705.41,Postoloprty,apartment,{}
243,1007968.73,791701.35,Postoloprty,apartment,{}
244,1007982.79,791696.99,Postoloprty,apartment,{}
245,1008025.47,791647.52,Postoloprty,apartment,{}
246,1007908.1,791623.75,Postoloprty,apartment,{}
247,1008720.68,791580.06,Postoloprty,apartment,{}
248,1008708.01,791587.55,Postoloprty,apartment,{}
249,1008687.89,791614.2,Postoloprty,apartment,{}
250,1008682.82,791642.22,Postoloprty,apartment,{}
251,1008651.12,791697.82,Postoloprty,apartment,{}
252,1008633.83,791694.69,Postoloprty,apartment,{}
253,1008610.04,791704.83,Postoloprty,apartment,{}
254,1008614.98,791772.92,Postoloprty,apartment,{}
255,1008519.77,792207.22,Postoloprty,apartment,{}
256,1008596.78,791700.8,Postoloprty,apartment,{}
257,1008639.69,791660.43,Postoloprty,apartment,{}
258,1008639.69,791660.43,Postoloprty,apartment,{}
259,1008643.98,791653.68,Postoloprty,apartment,{}
260,1008657.66,791627.31,Postoloprty,apartment,{}
261,1008668.84,791597.04,Postoloprty,apartment,{}
262,1008668.84,791597.04,Postoloprty,apartment,{}
263,1008672.75,791588.35,Postoloprty,apartment,{}
264,1008679.51,791577.32,Postoloprty,apartment,{}
265,1008679.51,791577.32,Postoloprty,apartment,{}
266,1008701.3,791551.45,Postoloprty,apartment,{}
267,1008686.86,791440.85,Postoloprty,apartment,{}
268,1008682.47,791467.58,Postoloprty,apartment,{}
269,1008642.88,791457.87,Postoloprty,apartment,{}
270,1008639.83,791427.76,Postoloprty,apartment,{}
271,1008607.44,791342.07,Postoloprty,apartment,{}
272,1008749.04,791430.78,Postoloprty,apartment,{}
273,1008745.49,791482.63,Postoloprty,apartment,{}
274,1008761.76,791446.86,Postoloprty,apartment,{}
275,1008641.71,791360.04,Postoloprty,apartment,{}
276,1008616.33,791368.73,Postoloprty,apartment,{}
277,1008648.14,791731.05,Postoloprty,apartment,{}
278,1008761.47,791575.83,Postoloprty,apartment,{}
279,1008708.72,791597.54,Postoloprty,apartment,{}
280,1008672.0,791471.14,Postoloprty,apartment,{}
281,1008679.03,792276.64,Postoloprty,apartment,{}
282,1003309.28,789194.44,Postoloprty,apartment,{}
283,1003334.08,789483.47,Postoloprty,apartment,{}
284,1003307.15,789513.01,Postoloprty,apartment,{}
285,1003290.54,789270.08,Postoloprty,apartment,{}
286,1003341.11,789535.78,Postoloprty,apartment,{}
287,1003367.08,789535.49,Postoloprty,apartment,{}
288,1003384.97,789535.49,Postoloprty,apartment,{}
289,1003294.86,789146.27,Postoloprty,apartment,{}
290,1003331.35,789459.08,Postoloprty,apartment,{}
291,1003287.21,789136.07,Postoloprty,apartment,{}
292,1003282.14,789324.01,Postoloprty,apartment,{}
293,1003279.78,789167.06,Postoloprty,apartment,{}
294,1003285.09,789505.27,Postoloprty,apartment,{}
295,1003268.14,789536.99,Postoloprty,apartment,{}
296,1003264.98,789105.31,Postoloprty,apartment,{}
297,1003281.05,789371.52,Postoloprty,apartment,{}
298,1003280.91,789408.02,Postoloprty,apartment,{}
299,1003285.61,789437.92,Postoloprty,apartment,{}
300,1004300.84,790743.8,Postoloprty,apartment,{}
301,1004300.84,790743.8,Postoloprty,apartment,{}
302,1004280.9,790733.05,Postoloprty,apartment,{}
303,1004256.27,790753.61,Postoloprty,apartment,{}
304,1004229.74,790750.67,Postoloprty,apartment,{}
305,1004221.78,790764.9,Postoloprty,apartment,{}
306,1004189.67,790746.76,Postoloprty,apartment,{}
307,1004172.73,790759.22,Postoloprty,apartment,{}
308,1004153.4,790759.59,Postoloprty,apartment,{}
309,1004135.42,790720.49,Postoloprty,apartment,{}
310,1004189.95,790564.67,Postoloprty,apartment,{}
311,1004417.69,790727.97,Postoloprty,apartment,{}
312,1004416.36,790746.62,Postoloprty,apartment,{}
313,1004460.9,790579.26,Postoloprty,apartment,{}
314,1004474.62,790614.12,Postoloprty,apartment,{}
315,1004471.81,790643.31,Postoloprty,apartment,{}
316,1004499.89,790661.21,Postoloprty,apartment,{}
317,1004498.6,790624.17,Postoloprty,apartment,{}
318,1004455.89,790764.04,Postoloprty,apartment,{}
319,1004442.36,790778.03,Postoloprty,apartment,{}
320,1004510.8,790639.39,Postoloprty,apartment,{}
321,1004497.8,790703.18,Postoloprty,apartment,{}
322,1004136.42,790636.89,Postoloprty,apartment,{}
323,1004477.11,790696.07,Postoloprty,apartment,{}
324,1004461.73,790732.63,Postoloprty,apartment,{}
325,1004492.76,790643.8,Postoloprty,apartment,{}
326,1004492.76,790643.8,Postoloprty,apartment,{}
327,1004144.96,790778.82,Postoloprty,apartment,{}
328,1004144.2,790793.26,Postoloprty,apartment,{}
329,1004130.58,790804.8,Postoloprty,apartment,{}
330,1004478.17,790683.55,Postoloprty,apartment,{}
331,1004261.04,790739.38,Postoloprty,apartment,{}
332,1004079.36,790590.14,Postoloprty,apartment,{}
333,1004079.36,790590.14,Postoloprty,apartment,{}
334,1004123.39,790844.7,Postoloprty,apartment,{}
335,1004426.11,790720.98,Postoloprty,apartment,{}
336,1004300.07,790688.12,Postoloprty,apartment,{}
337,1004143.91,790823.67,Postoloprty,apartment,{}
338,1003858.07,790640.22,Postoloprty,apartment,{}
339,1003834.04,790644.58,Postoloprty,apartment,{}
340,1003815.29,790640.04,Postoloprty,apartment,{}
341,1003779.45,790655.18,Postoloprty,apartment,{}
342,1003764.54,790649.5,Postoloprty,apartment,{}
343,1003931.54,790630.03,Postoloprty,apartment,{}
344,1003899.81,790626.89,Postoloprty,apartment,{}
345,1004456.9,790588.8,Postoloprty,apartment,{}
346,1004500.99,790690.67,Postoloprty,apartment,{}
347,1003874.48,790629.29,Postoloprty,apartment,{}
348,1004248.84,790551.42,Postoloprty,apartment,{}
349,1004248.84,790551.42,Postoloprty,apartment,{}
350,1003739.46,790664.53,Postoloprty,apartment,{}
351,1003568.93,790697.97,Postoloprty,apartment,{}
352,1003568.93,790697.97,Postoloprty,apartment,{}
353,1004069.7,790586.19,Postoloprty,apartment,{}
354,1004069.7,790586.19,Postoloprty,apartment,{}
355,1004381.18,790918.67,Postoloprty,apartment,{}
356,1004122.27,790861.11,Postoloprty,apartment,{}
357,1004119.35,790881.89,Postoloprty,apartment,{}
358,1004143.38,790704.22,Postoloprty,apartment,{}
359,1004168.2,790565.16,Postoloprty,apartment,{}
360,1004443.69,790692.88,Postoloprty,apartment,{}
361,1004443.69,790692.88,Postoloprty,apartment,{}
362,1004520.53,790615.79,Postoloprty,apartment,{}
363,1004382.28,791678.67,Postoloprty,apartment,{}
364,1004384.61,791726.04,Postoloprty,apartment,{}
365,1004293.05,791921.04,Postoloprty,apartment,{}
366,1004287.04,791736.79,Postoloprty,apartment,{}
367,1004295.5,791723.42,Postoloprty,apartment,{}
368,1004298.85,791712.87,Postoloprty,apartment,{}
369,1004299.08,791686.95,Postoloprty,apartment,{}
370,1004345.09,791667.36,Postoloprty,apartment,{}
371,1004267.97,791760.89,Postoloprty,apartment,{}
372,1004417.58,791676.89,Postoloprty,apartment,{}
373,1004409.38,791673.94,Postoloprty,apartment,{}
374,1004402.21,791672.26,Postoloprty,apartment,{}
375,1004394.12,791670.57,Postoloprty,apartment,{}
376,1004385.69,791666.67,Postoloprty,apartment,{}
377,1004277.21,791648.82,Postoloprty,apartment,{}
378,1004280.77,791618.92,Postoloprty,apartment,{}
379,1004272.62,791607.76,Postoloprty,apartment,{}
380,1004252.76,791788.17,Postoloprty,apartment,{}
381,1004260.88,791786.98,Postoloprty,apartment,{}
382,1004279.79,791835.26,Postoloprty,apartment,{}
383,1004330.91,791757.94,Postoloprty,apartment,{}
384,1008718.6,788784.86,Postoloprty,apartment,{}
385,1008731.45,788797.44,Postoloprty,apartment,{}
386,1008773.83,788823.96,Postoloprty,apartment,{}
387,1008788.05,788842.28,Postoloprty,apartment,{}
388,1008788.05,788842.28,Postoloprty,apartment,{}
389,1008824.97,788854.86,Postoloprty,apartment,{}
390,1008763.15,788888.23,Postoloprty,apartment,{}
391,1008763.15,788888.23,Postoloprty,apartment,{}
392,1008763.15,788888.23,Postoloprty,apartment,{}
393,1008763.15,788888.23,Postoloprty,apartment,{}
394,1008763.15,788888.23,Postoloprty,apartment,{}
395,1008763.15,788888.23,Postoloprty,apartment,{}
396,1008690.56,788877.48,Postoloprty,apartment,{}
397,1008690.56,788877.48,Postoloprty,apartment,{}
398,1008702.2,788852.25,Postoloprty,apartment,{}
399,1008661.62,788786.83,Postoloprty,apartment,{}
400,1008592.44,788781.13,Postoloprty,apartment,{}
401,1008599.14,788775.66,Postoloprty,apartment,{}
402,1008618.2,788771.07,Postoloprty,apartment,{}
403,1008648.87,788763.57,Postoloprty,apartment,{}
404,1008648.87,788763.57,Postoloprty,apartment,{}
405,1008572.85,788689.01,Postoloprty,apartment,{}
406,1008572.85,788689.01,Postoloprty,apartment,{}
407,1008572.85,788689.01,Postoloprty,apartment,{}
408,1008599.8,788695.77,Postoloprty,apartment,{}
409,1008629.67,788712.12,Postoloprty,apartment,{}
410,1008664.79,788705.95,Postoloprty,apartment,{}
411,1008664.79,788705.95,Postoloprty,apartment,{}
412,1008664.79,788705.95,Postoloprty,apartment,{}
413,1008664.79,788705.95,Postoloprty,apartment,{}
